country,year,co2_per_capita_tco2e_excl_lulucf,co2_total_mtco2e_excl_lulucf,energy_use_kg_oe_per_capita,gdp_current_usd,population_total,renewable_electricity_pct,renewable_energy_consumption_pct,urban_pop_pct,missing_indicator_count
MMR,2013,0.282921766692084,14.2204,317.028588736041,60269732854.827,50262658.0,94.1454931417374,75.6,29.457,0
MMR,2014,0.350014366150862,17.7393,345.059457398655,65531374199.6663,50681634.0,74.3878805000353,72.0,29.65,0
MMR,2015,0.386288210140348,19.7351,353.406826920047,59607290407.6191,51089056.0,68.089969947408,70.0,29.858,0
MMR,2016,0.446004264123355,22.9673,376.137198590416,63298361996.2153,51495696.0,69.2753104374091,68.8,30.082,0
MMR,2017,0.65006147613087,33.7349,429.211582722245,66053040483.0016,51894938.0,65.0456537442812,59.5,30.322,0
MMR,2018,0.640911801629649,33.5019,429.032316766838,67860515989.517,52272247.0,70.1940914419695,59.4,30.579,0
MMR,2019,0.65295468167386,34.372,426.034236342975,75065106227.6892,52640713.0,69.6768388929812,58.5,30.852,0
MMR,2020,0.654628004454913,34.7061,420.352655494399,79006113643.1906,53016522.0,62.1911447084233,59.2,31.141,0
MMR,2021,0.596140243761499,31.8262,404.314368791505,66345291160.1683,53387102.0,62.0739293687843,62.9,31.448,0
MMR,2022,0.602575075776013,32.3925,399.521185214539,62253049891.6449,53756787.0,62.0739293687843,62.9,31.771,0
MMR,2023,0.61640603897772,33.3684,399.521185214539,66757619000.0,54133798.0,62.0739293687843,62.9,32.112,0
MMR,2024,0.61640603897772,33.3684,399.521185214539,74079772652.4286,54500091.0,62.0739293687843,62.9,32.47,0
MYS,1990,3.61249830442382,64.4223,1188.82452987296,44024585239.6137,17833171.0,17.3314216197428,8.3,49.794,0
MYS,1991,4.10541353658919,75.3034,1433.29044241027,49143148094.2683,18342464.0,16.6013859596264,7.6,50.576,0
MYS,1992,4.20951429106008,79.2844,1542.60165312621,59167550162.956,18834572.0,14.8743135850472,6.9,51.814,0
MYS,1993,4.11425153384647,79.4983,1628.85647518995,66894966968.9736,19322664.0,14.0274619303952,6.7,53.109,0
MYS,1994,4.41788746832438,87.5645,1579.98307589289,74478356957.7808,19820446.0,16.6854219948849,6.8,54.402,0
MYS,1995,4.47298675262839,90.9385,1669.4307615698,88705342902.7113,20330599.0,13.6861554705028,6.1,55.688,0
MYS,1996,4.96066035599755,103.4302,1804.8415103812,100855393910.486,20850087.0,10.0882993620663,4.9,56.969,0
MYS,1997,5.29855648723676,113.2578,2053.29504995782,100005323301.867,21375218.0,6.69108373788504,4.2,58.237,0
MYS,1998,5.05175285767427,110.6673,1902.76224719258,72167498980.8398,21906713.0,7.99690336182899,4.5,59.496,0
MYS,1999,5.33504644931292,119.6946,1883.08205967087,79148421052.6316,22435531.0,11.5355724863183,4.9,60.742,0
MYS,2000,5.69403725630682,130.7796,2102.39212549567,93789736842.1053,22967816.0,10.9232690780449,4.4,61.977,0
MYS,2001,5.88304152527669,138.4076,2135.7884053911,92783947368.4211,23526538.0,9.33847279275224,4.2,62.922,0
MYS,2002,6.08051197393529,146.5554,2154.46190610282,100845526315.789,24102477.0,8.06362375250845,3.5,63.856,0
MYS,2003,6.344348664942,156.576,2254.16675979207,110202368421.053,24679602.0,7.21783124545999,3.3,64.78,0
MYS,2004,6.7160126400951,169.6248,2371.20028657265,124749473684.211,25256772.0,7.4770672305673,3.2,65.694,0
MYS,2005,7.01158082434438,181.1517,2515.14872740447,143534405818.501,25836071.0,7.99419399320213,3.0,66.594,0
MYS,2006,7.10770863810607,187.7708,2472.12683283587,162692258307.056,26417909.0,7.83366358677502,3.1,67.483,0
MYS,2007,7.59083810519213,204.9404,2584.76582554848,193549569477.733,26998389.0,7.01503343041142,2.8,68.36,0
MYS,2008,7.84104959659317,216.1782,2678.81949826316,230811614370.384,27570059.0,8.91908058199814,3.0,69.225,0
MYS,2009,7.03938356420093,197.9811,2483.79273364834,202257453036.641,28124778.0,6.86623621802884,2.3,70.075,0
MYS,2010,7.52290218907351,215.5746,2529.59168934211,255017638455.59,28655776.0,6.18425945218214,2.0,70.912,0
MYS,2011,7.48674329665357,218.3287,2591.22470848139,297951668674.835,29162039.0,6.72431796910653,2.2,71.609,0
MYS,2012,7.41258985024052,219.8784,2587.43170352026,314443047642.111,29662831.0,8.07205631748536,2.5,72.275,0
MYS,2013,7.86251794368479,237.2457,2869.7691156446,323276235524.415,30174265.0,9.48138751554052,2.8,72.93,0
MYS,2014,8.19206012795682,251.4646,2879.92352228516,338066095097.254,30696137.0,9.85821426876157,3.0,73.577,0
MYS,2015,8.09817295267622,252.9286,2706.92696275778,301355266964.947,31232798.0,11.1401917094649,3.4,74.213,0
MYS,2016,7.78769276889658,247.5683,2759.17228283076,301256033870.334,31789685.0,13.6711221754117,4.4,74.84,0
MYS,2017,7.35156129174867,237.8645,2617.76462271235,319109094160.343,32355644.0,17.0431848852901,5.2,75.447,0
